Column size in KB,Data type,Time in ns
0.0078125,int8,44
0.0078125,int16,25
0.0078125,int32,26
0.0078125,int64,20
0.015625,int8,36
0.015625,int16,27
0.015625,int32,25
0.015625,int64,25
0.03125,int8,50
0.03125,int16,38
0.03125,int32,29
0.03125,int64,29
0.0625,int8,76
0.0625,int16,55
0.0625,int32,40
0.0625,int64,32
0.125,int8,116
0.125,int16,79
0.125,int32,51
0.125,int64,49
0.5,int8,387
0.5,int16,209
0.5,int32,119
0.5,int64,81
1,int8,747
1,int16,391
1,int32,209
1,int64,125
4,int8,2916
4,int16,1469
4,int32,755
4,int64,393
16,int8,11575
16,int16,5816
16,int32,2934
16,int64,1517
64,int8,46205
64,int16,23134
64,int32,11633
64,int64,6279
1024,int8,743810
1024,int16,376345
1024,int32,204047
1024,int64,132302
16384,int8,1.19337e+07
16384,int16,6.12897e+06
16384,int32,3.46241e+06
16384,int64,2.65554e+06
65536,int8,4.8053e+07
65536,int16,2.43436e+07
65536,int32,1.39121e+07
65536,int64,1.16206e+07
262144,int8,1.91703e+08
262144,int16,9.65432e+07
262144,int32,5.26543e+07
262144,int64,4.46587e+07
1.04858e+06,int8,7.68981e+08
1.04858e+06,int16,3.864e+08
1.04858e+06,int32,2.09486e+08
1.04858e+06,int64,1.78012e+08
4.1943e+06,int8,3.07066e+09
4.1943e+06,int16,1.6107e+09
4.1943e+06,int32,9.53793e+08
4.1943e+06,int64,8.85667e+08
